key,iata_code,name,city,country,latitude,longitude,altitude,timezone_offset,dst,timezone_name
WASR,MKW,Rendani,Manokwari,Indonesia,-0.892141,134.048786,23,9,U,Asia/Jayapura
WASS,SOQ,Jefman,Sorong,Indonesia,-0.917147,131.120783,10,9,U,Asia/Jayapura
WATC,MOF,Wai Oti,Maumere,Indonesia,-8.639709,122.23814,115,8,U,Asia/Makassar
WATE,ENE,Ende Airport,Ende,Indonesia,-8.833333,121.65,49,8,U,Asia/Makassar
WATG,RTG,Ruteng Airport,Ruteng,Indonesia,-8.6,120.45,3510,8,U,Asia/Makassar
WATM,ARD,Mali Airport,Alor Island,Indonesia,-8.13234,124.597,10,8,U,Asia/Makassar
WATO,LBJ,Mutiara Airport,Labuhan Bajo,Indonesia,-8.516667,119.88333,66,8,U,Asia/Makassar
WATT,KOE,El Tari Airport,Kupang,Indonesia,-10.171417,123.670723,335,8,U,Asia/Makassar
WAWW,KDI,Haluoleo Airport,Kendari,Indonesia,-4.077063,122.417283,538,8,U,Asia/Makassar
WBGB,BTU,Bintulu Airport,Bintulu,Malaysia,3.123728,113.024031,74,8,U,Asia/Kuching
WBGC,BLG,Belaga Airport,Belaga,Malaysia,2.7,113.78333,200,8,U,Asia/Kuching
WBGF,LGL,Long Lellang,Long Datih,Malaysia,3.421823,115.154067,1400,8,U,Asia/Kuching
WBGG,KCH,Kuching Airport,Kuching,Malaysia,1.486978,110.34183,89,8,U,Asia/Kuching
WBGI,ODN,Long Seridan Airport,Long Seridan,Malaysia,4.033333,115.066667,607,8,U,Asia/Kuching
WBGJ,LMN,Limbang Airport,Limbang,Malaysia,4.746204,115.017056,14,8,U,Asia/Kuching
